Chapter_and_Level,Syntax,Map_Behavior,Game_Example
"Chapter 7, Level 4",Lists in Functions,Use lists to synchronize data (vegetables and their quantities) for processing.,"Level 4: gather all vegetables and take them to the press (X mark) to pickle them using a custom function. Set up custom function `pickle()`:

```python
def pickle(food_list, number_list):
    for i in range(len(food_list)):
        # Pickle food_list[i] with number_list[i] quantity
        player.pickle(food_list[i], number_list[i])
```

This function uses two lists as arguments: one for food names, one for quantities. Gather vegetables, create the lists:

```python
vegetables = [""Cucumbers"", ""Tomatoes"", ""Radishes""]
```

Create variables for counts and put in list:
```python
cucumber_count = 5
tomato_count = 3
radish_count = 7
vegetable_number = [cucumber_count, tomato_count, radish_count]
```

Head to X mark and pickle:
```python
pickle(vegetables, vegetable_number)
```

Function iterates through both lists in parallel, pairing vegetables with their quantities. Game demonstrates list indexing: `food_list[0]` pairs with `number_list[0]`, etc."
"Chapter 7, Level 5",Conditions in Functions,Use string arguments to determine which action sequence to execute (open gates or build bridges).,"Level 5: create custom function to navigate swamp by opening gates and building bridges. Function must have conditions to work for both tasks.

Create `navigate_swamp` function with string argument:
```python
def navigate_swamp(action):
    if action == ""build"":
        # Build bridge logic
        build()
        move_forward()
        build()
        move_forward()
        build()
        move_forward()
    elif action == ""open"":
        # Open gate logic
        open()
        move_forward()
        turn_around()
        close()
```

The `""build""` condition uses `build()` function with movement, repeated 3 times to clear the bridge. The `""open""` condition opens gate, moves across, turns around, and closes it.

Use the function to navigate:
```python
navigate_swamp(""open"")   # Opens and closes gate
navigate_swamp(""build"")  # Builds bridge
navigate_swamp(""open"")   # Opens another gate
```

Same function performs completely different operations based on string argument. Pick up all logs before building bridges. Game shows how single function can encapsulate multiple behaviors selected by conditions."
"Chapter 7, Level 6",Operators in Functions,"Calculate serving sizes using division, check quantities with comparisons.","Level 6: check if you have enough berries to mash for a serving of puree. Create variable for serving size:

```python
serving = total_berries / berry_types  # Calculate serving size
```

Create `mash_berries` function that checks if amount is enough for serving:
```python
def mash_berries(amount):
    if amount >= serving:
        speak(""Enough berries for puree!"")
        # Mash the berries
    elif amount < serving:
        speak(""Not enough berries"")
    else:
        speak(""Exact serving size"")
```

Grab all berries in field and store in variables:
```python
red_berries = 15
blue_berries = 8  
black_berries = 12
```

Walk to X marks and use function with each variable:
```python
mash_berries(red_berries)    # Checks 15 berries
mash_berries(blue_berries)   # Checks 8 berries
mash_berries(black_berries)  # Checks 12 berries
```

Function uses division operator to calculate serving size, comparison operators (`>=`, `<`) to check quantities, and conditions to display different messages. Game demonstrates how operators enable functions to perform calculations and make decisions."
"Chapter 8, Level 1",Dictionary Creation Syntax {key: value},Store collected items with their names as keys and quantities as values.,"Level 1: walk through field and grab all fruit (Apples, Oranges, Pears). Store in dictionary named `bag` with index being fruit name and value being quantity:

```python
bag = {
    ""Apples"": 5,
    ""Oranges"": 3,
    ""Pears"": 7
}
```

Dictionary uses curly braces `{}`, key-value pairs separated by colons `:`, pairs separated by commas. Unlike lists (indexed by numbers 0,1,2...), dictionaries indexed by meaningful keys (fruit names).

Walk to X mark and use speak function to count fruits:
```python
player.speak(f""Apples: {bag['Apples']}"")
player.speak(f""Oranges: {bag['Oranges']}"")  
player.speak(f""Pears: {bag['Pears']}"")
```

Access dictionary values using `dict[key]` syntax. Game shows visual distinction: lists use brackets `[0]`, dictionaries use descriptive keys `[""Apples""]`.

**Key Teaching Point**: Dictionaries organize data with meaningful labels instead of numeric indices. Perfect for inventory systems where item names are more intuitive than numbers."
"Chapter 8, Level 2",Dictionary with plant() Function,"Use plant() function to plant seeds from dictionary, then water crops.","Level 2: constant named `seeds` holds 4 different crop seeds: `""Pumpkin""`, `""Eggplant""`, `""Tomato""`, `""Melon""`. Walk to each X mark and use `plant()` function to plant all seeds in respective areas, then `water()` to water crops:

```python
# seeds constant provided by game
seeds = {
    ""Pumpkin"": 4,
    ""Eggplant"": 3,
    ""Tomato"": 5,
    ""Melon"": 2
}

# At each X mark
player.plant(""Pumpkin"", seeds[""Pumpkin""])
player.water()
```

The `plant()` function takes seed name and quantity from dictionary. Repeat for each seed type at corresponding X marks.

Finally, head to middle light X mark and count all planted seeds:
```python
total_planted = seeds[""Pumpkin""] + seeds[""Eggplant""] + seeds[""Tomato""] + seeds[""Melon""]
player.speak(f""Total seeds planted: {total_planted}"")
```

**Key Teaching Point**: Dictionaries work seamlessly with functions. Access values by name, pass to functions, aggregate totals. More intuitive than remembering which index represents which seed type."
"Chapter 8, Level 3",del Keyword (Dictionary Deletion),"Remove unwanted items from crate dictionaries (Pipes, Screws, Bolts).","Level 3: remove items from dictionary constants `crate1`, `crate2`, `crate3`, `crate4`, `crate5`. Items to remove: `""Pipes""`, `""Screws""`, `""Bolts""`.

Walk to each X mark in front of containers, use `speak()` to find what's inside each crate:
```python
player.speak(crate1)  # Shows: {""Pipes"": 3, ""Nails"": 5, ""Screws"": 2}
```

If undesired items present, use `del` to remove:
```python
if ""Pipes"" in crate1:
    del crate1[""Pipes""]
if ""Screws"" in crate1:
    del crate1[""Screws""]
if ""Bolts"" in crate1:
    del crate1[""Bolts""]
```

Do this for all five crates - inspect contents, remove undesirables:
```python
# Crate 2
player.speak(crate2)
del crate2[""Screws""]
del crate2[""Bolts""]

# Crate 3  
player.speak(crate3)
del crate3[""Pipes""]
# etc.
```

**Key Teaching Point**: `del` syntax permanently removes key-value pairs. Check existence with `in` operator before deleting to avoid errors. Dictionary becomes smaller as items removed."
"Chapter 8, Level 4",Dictionary Value Access in Functions,Use place() function with dictionary values to store crops in containers.,"Level 4: gather all crops on field and place in storeroom. Four crop types: `""corn""`, `""carrot""`, `""wheat""`, `""parsnip""`. Collect crops, store in dictionary with quantities:

```python
crops = {
    ""corn"": 12,
    ""carrot"": 8,
    ""wheat"": 15,
    ""parsnip"": 6
}
```

Walk to each X mark (accompanied by sign outlining crop type) and store in containers using `place()`:
```python
# At corn container
player.place(""corn"", crops[""corn""])  # Places 12 corn

# At carrot container  
player.place(""carrot"", crops[""carrot""])  # Places 8 carrots

# At wheat container
player.place(""wheat"", crops[""wheat""])  # Places 15 wheat

# At parsnip container
player.place(""parsnip"", crops[""parsnip""])  # Places 6 parsnips
```

Place crops in correct containers matching signs. Game validates: crop name must match container label.

**Key Teaching Point**: Dictionary values isolated and used with functions. Single data structure (crops dict) provides both item names and quantities. Signs on map correspond to dictionary keys - visual/data connection."
"Chapter 8, Level 5",Dictionaries in Custom Functions,Custom sow_field function uses dictionary values to plant and water trees.,"Level 5: collect seeds and water to prep for sowing field. First, grab bag holding seeds (dictionary provided):
```python
seeds = {
    ""orange"": 3,
    ""pear"": 4,
    ""apple"": 3,
    ""peach"": 2
}
```

Walk to light X mark, face well, collect water:
```python
player.collect(""water"")
```

Create function `sow_field` with arguments: `tree`, `loops`, `direction`:
```python
def sow_field(tree, loops, direction):
    for i in range(loops):
        player.plant(tree, 1)
        player.water()
        if direction == ""left"":
            player.turn_left()
            player.move_forward()
            player.turn_right()
        elif direction == ""right"":
            player.turn_right()
            player.move_forward()  
            player.turn_left()
```

Arguments:
- `tree`: seed name from dictionary (`""orange""`, `""pear""`, `""apple""`, `""peach""`)
- `loops`: number of times to execute (equals seed quantity from dictionary)
- `direction`: `""left""` or `""right""` for movement

Head to top of map, use custom function to plant and water trees:
```python
sow_field(""orange"", seeds[""orange""], ""right"")  # Plant 3 orange trees, move right
sow_field(""pear"", seeds[""pear""], ""right"")      # Plant 4 pear trees, move right
sow_field(""apple"", seeds[""apple""], ""left"")     # Plant 3 apple trees, move left
sow_field(""peach"", seeds[""peach""], ""left"")     # Plant 2 peach trees, move left
```

Dictionary values determine loop iterations. Function combines planting, watering, and directional movement.

**Key Teaching Point**: Dictionaries + custom functions = dynamic behavior. Dictionary values control function execution (how many iterations). Single function handles all tree types using dictionary keys."
"Chapter 8, Level 6",Dictionary Iteration with for Loop,Iterate materials dictionary to categorize and place items in containers.,"Level 6: several materials scattered across field need picking up, categorizing, and putting away. Collect all materials: `""branches""`, `""boulders""`, `""planks""`. Place in dictionary with quantities:

```python
materials = {
    ""branches"": 8,
    ""boulders"": 5,
    ""planks"": 12
}
```

Walk to light X mark, use `for` loop to iterate dictionary using `speak()`:
```python
for material in materials:
    player.speak(f""{material}: {materials[material]}"")
```

Output shows:
```
branches: 8
boulders: 5
planks: 12
```

Iteration pattern: `for key in dict:` gives keys, access values with `dict[key]`. Alternative with items():
```python
for material, quantity in materials.items():
    player.speak(f""{material}: {quantity}"")
```

Walk to three dark X marks, use `place()` to store each material:
```python
# Left container - branches
player.place(""branches"", materials[""branches""])

# Middle container - boulders  
player.place(""boulders"", materials[""boulders""])

# Right container - planks
player.place(""planks"", materials[""planks""])
```

Put everything in correct position to complete level.

**Key Teaching Point**: Dictionary iteration differs from lists. Lists iterate values directly, dictionaries iterate keys (then access values). Use `dict.items()` for simultaneous key-value access. For loop + dictionary = automatic categorization."
"Chapter 9, Level 1",class Keyword (Class Definition),Create class for grain stacks that can be built multiple times.,"Level 1: create grain stacks by using classes. Define a class as blueprint:

```python
class GrainStack:
    pass  # Class definition
```

Class defines the type of object. Think of it as a template or cookie cutter. Once class is set up, create objects (individual instances):

```python
stack1 = GrainStack()
stack2 = GrainStack()
stack3 = GrainStack()
```

Each variable (`stack1`, `stack2`, `stack3`) is separate object created from same class. Grab all grains in field, walk to three X marks. Use `build()` function to construct objects:

```python
player.build(stack1)
player.build(stack2)
player.build(stack3)
```

Each `build()` call creates physical grain stack from class object.

**Key Teaching Point**: Classes are blueprints, objects are instances. One class definition → many object instances. Game visualizes: class as schematic diagram, objects as actual constructions. Syntax: `class ClassName:` with capital first letter by convention."
"Chapter 9, Level 2",__init__ Method (Constructor),Set up road properties (material type) when creating road objects.,"Level 2: complete roads using materials from field. Classes create objects with `__init__` method:

```python
class Road:
    def __init__(self, material):
        self.material = material
```

The `__init__` method runs automatically when object created. `self` refers to the object itself, `material` is parameter passed when creating object.

Grab all planks and stones in field, set up class, then create objects:

```python
wooden_road = Road(""wood"")
stone_road = Road(""stone"")
```

When `Road(""wood"")` executes:
1. New Road object created
2. `__init__` runs automatically
3. `self.material` set to `""wood""`
4. Object returned and stored in `wooden_road`

Walk to X marks and build roads:
```python
player.build(wooden_road)  # Builds wooden road
player.build(stone_road)   # Builds stone road
```

Each object has different `material` attribute, so different roads built.

**Key Teaching Point**: `__init__` is constructor - special method for initialization. Syntax: `def __init__(self, params):` with double underscores. `self` is first parameter, refers to object being created. Parameters after `self` customize each object."
"Chapter 9, Level 3",Class Attributes/Properties,"Store house properties (color, size) for building different chicken houses.","Level 3: collect planks and build 4 chicken houses with different properties. Create class with two variables:

```python
class ChickenHouse:
    def __init__(self, color, size):
        self.color = color
        self.size = size
```

Each object has two properties: `color` and `size`. Grab all planks, walk to X marks, create 4 different objects:

```python
big_green_house = ChickenHouse(""green"", ""big"")
small_blue_house = ChickenHouse(""blue"", ""small"")
big_orange_house = ChickenHouse(""orange"", ""big"")
small_red_house = ChickenHouse(""red"", ""small"")
```

Each object has different property values:
- `big_green_house.color` = `""green""`, `big_green_house.size` = `""big""`
- `small_blue_house.color` = `""blue""`, `small_blue_house.size` = `""small""`
- etc.

Use `build()` function standing on X marks, facing empty lots:
```python
player.build(big_green_house)    # Builds big green house
player.build(small_blue_house)   # Builds small blue house
player.build(big_orange_house)   # Builds big orange house
player.build(small_red_house)    # Builds small red house
```

Game reads object properties to determine house appearance.

**Key Teaching Point**: Class attributes (properties) store object-specific data. Set in `__init__`, accessed with `object.attribute`. Same class, different property values → different objects. Properties make objects customizable."
"Chapter 9, Level 4",Class Methods (Custom Functions in Classes),Call refill() method on machine object to refill food or water.,"Level 4: activate pumps to refill water and food for cows in stable. Game provides `machine` class with `refill()` function:

```python
class Machine:
    def refill(self, resource):
        if resource == ""food"":
            # Refill food logic
            pump_food()
        elif resource == ""water"":
            # Refill water logic
            pump_water()
```

Class has method (function) that takes `resource` argument (`""food""` or `""water""`). First, create object reference:

```python
pump = Machine()  # Create machine object
```

Walk to four X marks. On dark X marks, call function to refill food:
```python
pump.refill(""food"")
```

On light X marks, call function to refill water:
```python
pump.refill(""water"")
```

Method called with `object.method_name(arguments)` syntax. Same object, different arguments → different behaviors.

Use class object's function on all four X marks to complete level.

**Key Teaching Point**: Class methods are functions inside classes. First parameter is `self` (the object). Called with `object.method()` syntax. Methods can access object's properties and perform actions. Objects encapsulate both data (properties) and behavior (methods)."
